row_id,video_id,agent_id,target_id,action,start_frame,stop_frame
71,438887472,mouse2,mouse3,avoid,1458,1459
72,438887472,mouse2,mouse3,avoid,1460,1463
73,438887472,mouse2,mouse3,avoid,2591,2599
74,438887472,mouse2,mouse3,avoid,2600,2601
75,438887472,mouse2,mouse3,approach,2646,2650
76,438887472,mouse2,mouse3,avoid,2661,2664
77,438887472,mouse2,mouse3,avoid,2667,2691
78,438887472,mouse2,mouse3,avoid,2696,2697
79,438887472,mouse2,mouse3,avoid,2710,2713
80,438887472,mouse2,mouse3,avoid,3395,3439
81,438887472,mouse2,mouse3,approach,4979,4984
82,438887472,mouse2,mouse3,approach,4985,4997
83,438887472,mouse2,mouse3,chase,4997,5004
84,438887472,mouse2,mouse3,approach,7759,7781
85,438887472,mouse2,mouse3,submit,7910,7913
86,438887472,mouse2,mouse3,avoid,8521,8523
87,438887472,mouse2,mouse3,avoid,8529,8530
88,438887472,mouse2,mouse3,avoid,8540,8544
89,438887472,mouse2,mouse3,avoid,8546,8547
90,438887472,mouse2,mouse3,avoid,8548,8551
91,438887472,mouse2,mouse3,avoid,11953,11965
92,438887472,mouse2,mouse3,avoid,15503,15504
93,438887472,mouse2,mouse3,avoid,16931,16937
94,438887472,mouse2,mouse3,avoid,16939,16940
95,438887472,mouse2,mouse3,approach,17060,17066
96,438887472,mouse2,mouse3,approach,17068,17090
97,438887472,mouse2,mouse3,approach,18005,18036
98,438887472,mouse2,mouse3,avoid,18314,18354
99,438887472,mouse2,mouse4,avoid,119,165
100,438887472,mouse2,mouse4,avoid,169,171
101,438887472,mouse2,mouse4,avoid,178,180
102,438887472,mouse2,mouse4,avoid,706,707
103,438887472,mouse2,mouse4,avoid,715,727
104,438887472,mouse2,mouse4,avoid,1120,1169
105,438887472,mouse2,mouse4,avoid,2655,2659
106,438887472,mouse2,mouse4,avoid,2662,2712
107,438887472,mouse2,mouse4,avoid,2716,2718
108,438887472,mouse2,mouse4,avoid,4450,4451
109,438887472,mouse2,mouse4,avoid,4459,4518
110,438887472,mouse2,mouse4,avoid,4519,4520
111,438887472,mouse2,mouse4,avoid,4980,5023
112,438887472,mouse2,mouse4,approach,5369,5385
113,438887472,mouse2,mouse4,approach,5386,5388
114,438887472,mouse2,mouse4,submit,5500,5502
115,438887472,mouse2,mouse4,avoid,5516,5549
116,438887472,mouse2,mouse4,avoid,5550,5556
117,438887472,mouse2,mouse4,avoid,7162,7216
118,438887472,mouse2,mouse4,avoid,7219,7228
119,438887472,mouse2,mouse4,avoid,8887,8915
120,438887472,mouse2,mouse4,avoid,8916,8917
121,438887472,mouse2,mouse4,avoid,8919,8924
122,438887472,mouse2,mouse4,avoid,9436,9437
123,438887472,mouse2,mouse4,avoid,9452,9453
124,438887472,mouse2,mouse4,avoid,9454,9481
125,438887472,mouse2,mouse4,avoid,10107,10127
126,438887472,mouse2,mouse4,avoid,10591,10592
127,438887472,mouse2,mouse4,approach,15430,15444
128,438887472,mouse2,mouse4,avoid,15473,15474
129,438887472,mouse2,mouse4,avoid,15484,15504
130,438887472,mouse2,mouse4,approach,16636,16672
131,438887472,mouse2,mouse4,avoid,16815,16850
132,438887472,mouse2,mouse4,avoid,17061,17091
133,438887472,mouse2,mouse4,avoid,17681,17714
134,438887472,mouse2,mouse4,avoid,17948,17992
135,438887472,mouse2,self,rear,462,463
136,438887472,mouse2,self,rear,468,520
137,438887472,mouse2,self,rear,782,893
138,438887472,mouse2,self,rear,894,895
139,438887472,mouse2,self,rear,1543,1544
140,438887472,mouse2,self,rear,1553,1554
141,438887472,mouse2,self,rear,1555,1556
142,438887472,mouse2,self,rear,1584,1602
143,438887472,mouse2,self,rear,2122,2123
144,438887472,mouse2,self,rear,2130,2131
145,438887472,mouse2,self,rear,2135,2137
146,438887472,mouse2,self,rear,2138,2442
147,438887472,mouse2,self,rear,2447,2550
148,438887472,mouse2,self,rear,2551,2552
149,438887472,mouse2,self,rear,2562,2564
150,438887472,mouse2,self,rear,2962,2965
151,438887472,mouse2,self,rear,2966,2988
152,438887472,mouse2,self,rear,3089,3093
153,438887472,mouse2,self,rear,3617,3635
154,438887472,mouse2,self,rear,3636,3653
155,438887472,mouse2,self,rear,3782,3784
156,438887472,mouse2,self,rear,3785,3790
157,438887472,mouse2,self,rear,3792,3810
158,438887472,mouse2,self,rear,3857,3858
159,438887472,mouse2,self,rear,3859,3938
160,438887472,mouse2,self,rear,4044,4045
161,438887472,mouse2,self,rear,4048,4049
162,438887472,mouse2,self,rear,4055,4059
163,438887472,mouse2,self,rear,4099,4100
164,438887472,mouse2,self,rear,4102,4110
165,438887472,mouse2,self,rear,4114,4128
166,438887472,mouse2,self,rear,4131,4132
167,438887472,mouse2,self,rear,4137,4139
168,438887472,mouse2,self,rear,4400,4435
169,438887472,mouse2,self,rear,4436,4437
170,438887472,mouse2,self,rear,4647,4683
171,438887472,mouse2,self,rear,4684,4685
172,438887472,mouse2,self,rear,4689,4690
173,438887472,mouse2,self,rear,4691,4694
174,438887472,mouse2,self,rear,4893,4895
175,438887472,mouse2,self,rear,4896,4941
176,438887472,mouse2,self,rear,4943,4945
177,438887472,mouse2,self,rear,4946,4947
178,438887472,mouse2,self,rear,4955,4957
179,438887472,mouse2,self,rear,4961,4964
180,438887472,mouse2,self,rear,4965,4966
181,438887472,mouse2,self,rear,4978,4979
182,438887472,mouse2,self,rear,5464,5466
183,438887472,mouse2,self,rear,5468,5469
184,438887472,mouse2,self,rear,5470,5504
185,438887472,mouse2,self,rear,7135,7136
186,438887472,mouse2,self,rear,7833,7834
187,438887472,mouse2,self,rear,7844,7847
188,438887472,mouse2,self,rear,7850,7851
189,438887472,mouse2,self,rear,7855,7858
190,438887472,mouse2,self,rear,7988,7991
191,438887472,mouse2,self,rear,7995,7997
192,438887472,mouse2,self,rear,8267,8268
193,438887472,mouse2,self,rear,8273,8275
194,438887472,mouse2,self,rear,8287,8290
195,438887472,mouse2,self,rear,8292,8293
196,438887472,mouse2,self,rear,8295,8296
197,438887472,mouse2,self,rear,8392,8483
198,438887472,mouse2,self,rear,8487,8489
199,438887472,mouse2,self,rear,10006,10016
200,438887472,mouse2,self,rear,10018,10019
201,438887472,mouse2,self,rear,10020,10024
202,438887472,mouse2,self,rear,10026,10027
203,438887472,mouse2,self,rear,10028,10100
204,438887472,mouse2,self,rear,10173,10174
205,438887472,mouse2,self,rear,10368,10369
206,438887472,mouse2,self,rear,10370,10371
207,438887472,mouse2,self,rear,10372,10379
208,438887472,mouse2,self,rear,10394,10399
209,438887472,mouse2,self,rear,10402,10403
210,438887472,mouse2,self,rear,10404,10518
211,438887472,mouse2,self,rear,11023,11024
212,438887472,mouse2,self,rear,11025,11093
213,438887472,mouse2,self,rear,11196,11204
214,438887472,mouse2,self,rear,11207,11208
215,438887472,mouse2,self,rear,11213,11215
216,438887472,mouse2,self,rear,11216,11217
217,438887472,mouse2,self,rear,11774,11778
218,438887472,mouse2,self,rear,11945,11946
219,438887472,mouse2,self,rear,12788,12793
220,438887472,mouse2,self,rear,12794,12880
221,438887472,mouse2,self,rear,12883,12885
222,438887472,mouse2,self,rear,12895,12896
223,438887472,mouse2,self,rear,12897,12902
224,438887472,mouse2,self,rear,12903,12905
225,438887472,mouse2,self,rear,13052,13054
226,438887472,mouse2,self,rear,13057,13110
227,438887472,mouse2,self,rear,13112,13113
228,438887472,mouse2,self,rear,13115,13117
229,438887472,mouse2,self,rear,13128,13131
230,438887472,mouse2,self,rear,13133,13138
231,438887472,mouse2,self,rear,13187,13188
232,438887472,mouse2,self,rear,13191,13220
233,438887472,mouse2,self,rear,13221,13233
234,438887472,mouse2,self,rear,13506,13509
235,438887472,mouse2,self,rear,13510,13541
236,438887472,mouse2,self,rear,14040,14214
237,438887472,mouse2,self,rear,14216,14332
238,438887472,mouse2,self,rear,14338,14340
239,438887472,mouse2,self,rear,14342,14343
240,438887472,mouse2,self,rear,14362,14365
241,438887472,mouse2,self,rear,14366,14446
242,438887472,mouse2,self,rear,14449,14454
243,438887472,mouse2,self,rear,14455,14464
244,438887472,mouse2,self,rear,14465,14472
245,438887472,mouse2,self,rear,14473,14483
246,438887472,mouse2,self,rear,14488,14489
247,438887472,mouse2,self,rear,14490,14493
248,438887472,mouse2,self,rear,14494,14517
249,438887472,mouse2,self,rear,14629,14636
250,438887472,mouse2,self,rear,14639,14641
251,438887472,mouse2,self,rear,14642,14643
252,438887472,mouse2,self,rear,14690,14755
253,438887472,mouse2,self,rear,14961,14962
254,438887472,mouse2,self,rear,14964,15054
255,438887472,mouse2,self,rear,15055,15058
256,438887472,mouse2,self,rear,15528,15531
257,438887472,mouse2,self,rear,15538,15553
258,438887472,mouse2,self,rear,15574,15575
259,438887472,mouse2,self,rear,15820,15884
260,438887472,mouse2,self,rear,15885,15903
261,438887472,mouse2,self,rear,15934,16058
262,438887472,mouse2,self,rear,16304,16370
263,438887472,mouse2,self,rear,16375,16446
264,438887472,mouse2,self,rear,16687,16688
265,438887472,mouse2,self,rear,16695,16696
266,438887472,mouse2,self,rear,16698,16815
267,438887472,mouse2,self,rear,16966,16978
268,438887472,mouse2,self,rear,17186,17189
269,438887472,mouse2,self,rear,17204,17205
270,438887472,mouse2,self,rear,17212,17213
271,438887472,mouse2,self,rear,17246,17247
272,438887472,mouse2,self,rear,17640,17646
273,438887472,mouse2,self,rear,17647,17648
274,438887472,mouse2,self,rear,17660,17673
275,438887472,mouse2,self,rear,17675,17676
276,438887472,mouse2,self,rear,17811,17866
277,438887472,mouse2,self,rear,17871,17872
278,438887472,mouse2,self,rear,17874,17907
279,438887472,mouse2,self,rear,17910,17924
280,438887472,mouse2,self,rear,17925,17927
281,438887472,mouse2,self,rear,18174,18178
282,438887472,mouse2,self,rear,18181,18184
283,438887472,mouse2,self,rear,18198,18204
284,438887472,mouse2,self,rear,18212,18213
285,438887472,mouse2,self,rear,18214,18215
286,438887472,mouse2,self,rear,18229,18235
287,438887472,mouse3,mouse1,avoid,267,317
288,438887472,mouse3,mouse1,avoid,798,816
289,438887472,mouse3,mouse1,avoid,2327,2328
290,438887472,mouse3,mouse1,avoid,2329,2332
291,438887472,mouse3,mouse1,avoid,2333,2335
292,438887472,mouse3,mouse1,avoid,2336,2337
293,438887472,mouse3,mouse1,avoid,2346,2356
294,438887472,mouse3,mouse1,avoid,3898,3899
295,438887472,mouse3,mouse1,approach,4141,4174
296,438887472,mouse3,mouse1,avoid,4195,4243
297,438887472,mouse3,mouse1,avoid,4249,4250
298,438887472,mouse3,mouse1,avoid,4251,4254
299,438887472,mouse3,mouse1,avoid,4259,4260
300,438887472,mouse3,mouse1,approach,5012,5014
301,438887472,mouse3,mouse1,approach,5016,5025
302,438887472,mouse3,mouse1,avoid,5070,5072
303,438887472,mouse3,mouse1,avoid,5082,5084
304,438887472,mouse3,mouse1,avoid,6538,6539
305,438887472,mouse3,mouse1,avoid,6540,6567
306,438887472,mouse3,mouse1,avoid,6569,6571
307,438887472,mouse3,mouse1,avoid,6590,6591
308,438887472,mouse3,mouse1,avoid,6592,6599
309,438887472,mouse3,mouse1,avoid,7221,7222
310,438887472,mouse3,mouse1,approach,7503,7529
311,438887472,mouse3,mouse1,avoid,7598,7637
312,438887472,mouse3,mouse1,avoid,7638,7641
313,438887472,mouse3,mouse1,avoid,8487,8488
314,438887472,mouse3,mouse1,avoid,8498,8524
315,438887472,mouse3,mouse1,avoid,8531,8545
316,438887472,mouse3,mouse1,approach,11732,11736
317,438887472,mouse3,mouse1,approach,11737,11739
318,438887472,mouse3,mouse1,approach,11741,11744
319,438887472,mouse3,mouse1,approach,11747,11749
320,438887472,mouse3,mouse1,approach,11751,11755
321,438887472,mouse3,mouse1,avoid,13524,13525
322,438887472,mouse3,mouse1,avoid,13526,13533
323,438887472,mouse3,mouse1,avoid,13538,13541
324,438887472,mouse3,mouse1,avoid,13543,13556
325,438887472,mouse3,mouse2,approach,607,670
326,438887472,mouse3,mouse2,approach,671,673
327,438887472,mouse3,mouse2,avoid,793,795
328,438887472,mouse3,mouse2,avoid,796,820
329,438887472,mouse3,mouse2,approach,3253,3269
330,438887472,mouse3,mouse2,chase,3269,3326
331,438887472,mouse3,mouse2,avoid,4802,4804
332,438887472,mouse3,mouse2,avoid,5003,5017
333,438887472,mouse3,mouse2,avoid,5018,5020
334,438887472,mouse3,mouse2,approach,6653,6670
335,438887472,mouse3,mouse2,avoid,6790,6794
336,438887472,mouse3,mouse2,avoid,6816,6817
337,438887472,mouse3,mouse2,approach,7243,7261
338,438887472,mouse3,mouse2,avoid,7313,7316
339,438887472,mouse3,mouse2,avoid,7317,7318
340,438887472,mouse3,mouse2,avoid,7908,7917
341,438887472,mouse3,mouse2,avoid,7953,7954
342,438887472,mouse3,mouse2,approach,8474,8476
343,438887472,mouse3,mouse2,approach,8477,8490
344,438887472,mouse3,mouse2,approach,8491,8492
345,438887472,mouse3,mouse2,chase,8500,8520
346,438887472,mouse3,mouse2,chase,8521,8528
347,438887472,mouse3,mouse2,chase,8529,8530
348,438887472,mouse3,mouse2,chase,10912,10913
349,438887472,mouse3,mouse2,avoid,17171,17221
350,438887472,mouse3,mouse2,avoid,17448,17449
351,438887472,mouse3,mouse2,chase,18353,18387
352,438887472,mouse3,mouse2,chase,18388,18392
353,438887472,mouse3,mouse4,avoid,268,305
354,438887472,mouse3,mouse4,avoid,306,307
355,438887472,mouse3,mouse4,avoid,611,612
356,438887472,mouse3,mouse4,avoid,613,616
357,438887472,mouse3,mouse4,avoid,618,619
358,438887472,mouse3,mouse4,avoid,2313,2315
359,438887472,mouse3,mouse4,avoid,2316,2318
360,438887472,mouse3,mouse4,avoid,2328,2339
361,438887472,mouse3,mouse4,avoid,2343,2344
362,438887472,mouse3,mouse4,avoid,2349,2357
363,438887472,mouse3,mouse4,avoid,2372,2374
364,438887472,mouse3,mouse4,avoid,3254,3255
365,438887472,mouse3,mouse4,avoid,3257,3298
366,438887472,mouse3,mouse4,avoid,3301,3307
367,438887472,mouse3,mouse4,avoid,3308,3326
368,438887472,mouse3,mouse4,approach,6279,6281
369,438887472,mouse3,mouse4,approach,6282,6283
370,438887472,mouse3,mouse4,approach,6284,6301
371,438887472,mouse3,mouse4,approach,8392,8402
372,438887472,mouse3,mouse4,approach,9533,9555
373,438887472,mouse3,mouse4,approach,10980,10983
374,438887472,mouse3,mouse4,avoid,11051,11052
375,438887472,mouse3,mouse4,avoid,11053,11067
376,438887472,mouse3,mouse4,approach,11293,11297
377,438887472,mouse3,mouse4,approach,15046,15065
378,438887472,mouse3,mouse4,approach,15066,15076
379,438887472,mouse3,mouse4,approach,17367,17368
380,438887472,mouse3,mouse4,approach,17369,17370
381,438887472,mouse3,mouse4,approach,17371,17376
382,438887472,mouse3,mouse4,approach,17377,17381
383,438887472,mouse3,mouse4,approach,17726,17758
384,438887472,mouse3,self,rear,24,26
385,438887472,mouse3,self,rear,27,58
386,438887472,mouse3,self,rear,60,61
387,438887472,mouse3,self,rear,348,349
388,438887472,mouse3,self,rear,350,351
389,438887472,mouse3,self,rear,354,355
390,438887472,mouse3,self,rear,357,361
391,438887472,mouse3,self,rear,363,372
392,438887472,mouse3,self,rear,854,903
393,438887472,mouse3,self,rear,947,955
394,438887472,mouse3,self,rear,961,965
395,438887472,mouse3,self,rear,1059,1088
396,438887472,mouse3,self,rear,1167,1174
397,438887472,mouse3,self,rear,1234,1236
398,438887472,mouse3,self,rear,1655,1720
399,438887472,mouse3,self,rear,1722,1741
400,438887472,mouse3,self,rear,1742,1754
401,438887472,mouse3,self,rear,1755,1804
402,438887472,mouse3,self,rear,1852,1866
403,438887472,mouse3,self,rear,2129,2171
404,438887472,mouse3,self,rear,2271,2284
405,438887472,mouse3,self,rear,3413,3414
406,438887472,mouse3,self,rear,3419,3420
407,438887472,mouse3,self,rear,3425,3511
408,438887472,mouse3,self,rear,3548,3549
409,438887472,mouse3,self,rear,3553,3554
410,438887472,mouse3,self,rear,3556,3557
411,438887472,mouse3,self,rear,3558,3565
412,438887472,mouse3,self,rear,3572,3729
413,438887472,mouse3,self,rear,3738,3742
414,438887472,mouse3,self,rear,3980,4019
415,438887472,mouse3,self,rear,6924,7045
416,438887472,mouse3,self,rear,8175,8176
417,438887472,mouse3,self,rear,8181,8182
418,438887472,mouse3,self,rear,8193,8196
419,438887472,mouse3,self,rear,8197,8203
420,438887472,mouse3,self,rear,8204,8234
421,438887472,mouse3,self,rear,8239,8310
422,438887472,mouse3,self,rear,8612,8618
423,438887472,mouse3,self,rear,8628,8657
424,438887472,mouse3,self,rear,8658,8659
425,438887472,mouse3,self,rear,9016,9028
426,438887472,mouse3,self,rear,9029,9030
427,438887472,mouse3,self,rear,9033,9036
428,438887472,mouse3,self,rear,9039,9040
429,438887472,mouse3,self,rear,9041,9043
430,438887472,mouse3,self,rear,9047,9049
431,438887472,mouse3,self,rear,9052,9055
432,438887472,mouse3,self,rear,9062,9064
433,438887472,mouse3,self,rear,9066,9085
434,438887472,mouse3,self,rear,9335,9351
435,438887472,mouse3,self,rear,9352,9353
436,438887472,mouse3,self,rear,9446,9479
437,438887472,mouse3,self,rear,11414,11415
438,438887472,mouse3,self,rear,11416,11421
439,438887472,mouse3,self,rear,11422,11508
440,438887472,mouse3,self,rear,14186,14188
441,438887472,mouse3,self,rear,14189,14195
442,438887472,mouse3,self,rear,14197,14198
443,438887472,mouse3,self,rear,14509,14510
444,438887472,mouse3,self,rear,14514,14515
445,438887472,mouse3,self,rear,14517,14519
446,438887472,mouse3,self,rear,14530,14569
447,438887472,mouse3,self,rear,14765,14766
448,438887472,mouse3,self,rear,14767,14990
449,438887472,mouse3,self,rear,15305,15306
450,438887472,mouse3,self,rear,15314,15323
451,438887472,mouse3,self,rear,15324,15326
452,438887472,mouse3,self,rear,15390,15391
453,438887472,mouse3,self,rear,15392,15393
454,438887472,mouse3,self,rear,15423,15425
455,438887472,mouse3,self,rear,15426,15428
456,438887472,mouse3,self,rear,15433,15434
457,438887472,mouse3,self,rear,15436,15440
458,438887472,mouse3,self,rear,15518,15519
459,438887472,mouse3,self,rear,15520,15521
460,438887472,mouse3,self,rear,15523,15524
461,438887472,mouse3,self,rear,15526,15529
462,438887472,mouse3,self,rear,15537,15538
463,438887472,mouse3,self,rear,15776,15780
464,438887472,mouse3,self,rear,15798,15799
465,438887472,mouse3,self,rear,16724,16726
466,438887472,mouse3,self,rear,17842,17853
467,438887472,mouse3,self,rear,17857,17859
468,438887472,mouse3,self,rear,17861,17862
469,438887472,mouse3,self,rear,17863,17879
470,438887472,mouse3,self,rear,17882,17887
471,438887472,mouse3,self,rear,18091,18094
472,438887472,mouse3,self,rear,18095,18102
473,438887472,mouse3,self,rear,18143,18146
474,438887472,mouse3,self,rear,18160,18161
475,438887472,mouse4,mouse1,avoid,419,423
476,438887472,mouse4,mouse1,avoid,425,426
477,438887472,mouse4,mouse1,avoid,428,430
478,438887472,mouse4,mouse1,avoid,465,540
479,438887472,mouse4,mouse1,approach,884,912
480,438887472,mouse4,mouse1,approach,1180,1203
481,438887472,mouse4,mouse1,attack,1268,1272
482,438887472,mouse4,mouse1,attack,1275,1277
483,438887472,mouse4,mouse1,attack,1278,1280
484,438887472,mouse4,mouse1,attack,1282,1326
485,438887472,mouse4,mouse1,attack,1330,1331
486,438887472,mouse4,mouse1,attack,1332,1335
487,438887472,mouse4,mouse1,chase,1366,1399
488,438887472,mouse4,mouse1,attack,1399,1535
489,438887472,mouse4,mouse1,approach,2107,2108
490,438887472,mouse4,mouse1,approach,2109,2110
491,438887472,mouse4,mouse1,chase,2236,2237
492,438887472,mouse4,mouse1,chase,2239,2266
493,438887472,mouse4,mouse1,attack,2366,2402
494,438887472,mouse4,mouse1,chase,2529,2532
495,438887472,mouse4,mouse1,chase,2533,2536
496,438887472,mouse4,mouse1,attack,2546,2547
497,438887472,mouse4,mouse1,attack,2548,2550
498,438887472,mouse4,mouse1,attack,2552,2553
499,438887472,mouse4,mouse1,attack,2554,2558
500,438887472,mouse4,mouse1,avoid,2584,2598
501,438887472,mouse4,mouse1,approach,3113,3114
502,438887472,mouse4,mouse1,approach,3115,3117
503,438887472,mouse4,mouse1,approach,4184,4227
504,438887472,mouse4,mouse1,avoid,4244,4246
505,438887472,mouse4,mouse1,avoid,4247,4248
506,438887472,mouse4,mouse1,avoid,4249,4260
507,438887472,mouse4,mouse1,avoid,4357,4386
508,438887472,mouse4,mouse1,avoid,6389,6402
509,438887472,mouse4,mouse1,avoid,8507,8512
510,438887472,mouse4,mouse1,avoid,8514,8515
511,438887472,mouse4,mouse1,avoid,8519,8540
512,438887472,mouse4,mouse1,approach,9192,9225
513,438887472,mouse4,mouse1,avoid,11300,11303
514,438887472,mouse4,mouse1,avoid,11308,11309
515,438887472,mouse4,mouse1,approach,11437,11448
516,438887472,mouse4,mouse1,approach,11454,11460
517,438887472,mouse4,mouse1,avoid,11521,11542
518,438887472,mouse4,mouse1,avoid,11545,11549
519,438887472,mouse4,mouse1,avoid,11556,11558
520,438887472,mouse4,mouse1,avoid,11881,11882
521,438887472,mouse4,mouse1,avoid,11883,11888
522,438887472,mouse4,mouse1,avoid,12058,12090
523,438887472,mouse4,mouse1,avoid,12101,12102
524,438887472,mouse4,mouse1,approach,12957,12958
525,438887472,mouse4,mouse1,approach,12959,12970
526,438887472,mouse4,mouse1,approach,12972,12985
527,438887472,mouse4,mouse1,avoid,13035,13093
528,438887472,mouse4,mouse1,approach,14608,14614
529,438887472,mouse4,mouse1,approach,16508,16523
530,438887472,mouse4,mouse1,approach,16524,16525
531,438887472,mouse4,mouse1,avoid,16547,16550
532,438887472,mouse4,mouse1,avoid,16551,16569
533,438887472,mouse4,mouse1,avoid,16576,16577
534,438887472,mouse4,mouse1,avoid,16578,16580
535,438887472,mouse4,mouse1,avoid,16582,16585
536,438887472,mouse4,mouse1,avoid,16586,16587
537,438887472,mouse4,mouse1,approach,17985,18016
538,438887472,mouse4,mouse1,avoid,18028,18080
539,438887472,mouse4,mouse1,approach,18229,18230
540,438887472,mouse4,mouse1,approach,18231,18240
541,438887472,mouse4,mouse1,avoid,18288,18326
542,438887472,mouse4,mouse2,approach,73,74
543,438887472,mouse4,mouse2,approach,76,101
544,438887472,mouse4,mouse2,approach,653,654
545,438887472,mouse4,mouse2,approach,665,676
546,438887472,mouse4,mouse2,chase,676,703
547,438887472,mouse4,mouse2,approach,900,910
548,438887472,mouse4,mouse2,approach,1102,1112
549,438887472,mouse4,mouse2,chase,1956,2007
550,438887472,mouse4,mouse2,approach,2604,2629
551,438887472,mouse4,mouse2,approach,2630,2631
552,438887472,mouse4,mouse2,approach,2878,2881
553,438887472,mouse4,mouse2,approach,2883,2892
554,438887472,mouse4,mouse2,approach,3080,3100
555,438887472,mouse4,mouse2,chase,3100,3196
556,438887472,mouse4,mouse2,approach,3196,3198
557,438887472,mouse4,mouse2,chase,3198,3218
558,438887472,mouse4,mouse2,chase,3219,3220
559,438887472,mouse4,mouse2,approach,4086,4111
560,438887472,mouse4,mouse2,avoid,4128,4136
561,438887472,mouse4,mouse2,avoid,4142,4143
562,438887472,mouse4,mouse2,avoid,4144,4151
563,438887472,mouse4,mouse2,approach,4360,4386
564,438887472,mouse4,mouse2,approach,4940,4941
565,438887472,mouse4,mouse2,approach,4942,4971
566,438887472,mouse4,mouse2,chase,5426,5468
567,438887472,mouse4,mouse2,attack,5491,5505
568,438887472,mouse4,mouse2,attack,5507,5512
569,438887472,mouse4,mouse2,attack,5513,5516
570,438887472,mouse4,mouse2,submit,5518,5519
571,438887472,mouse4,mouse2,approach,7111,7140
572,438887472,mouse4,mouse2,chase,8511,8513
573,438887472,mouse4,mouse2,chase,8515,8516
574,438887472,mouse4,mouse2,chase,8517,8530
575,438887472,mouse4,mouse2,chase,8531,8536
576,438887472,mouse4,mouse2,chase,8537,8546
577,438887472,mouse4,mouse2,approach,8819,8835
578,438887472,mouse4,mouse2,approach,9409,9428
579,438887472,mouse4,mouse2,approach,9431,9432
580,438887472,mouse4,mouse2,approach,10046,10051
581,438887472,mouse4,mouse2,approach,10057,10066
582,438887472,mouse4,mouse2,approach,10071,10088
583,438887472,mouse4,mouse2,avoid,10315,10320
584,438887472,mouse4,mouse2,avoid,10322,10330
585,438887472,mouse4,mouse2,avoid,10333,10337
